rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,elevation_m,slope_deg,aspect_deg,tri,tpi_15m,tpi_adj,composite_v2,rank_v2,rank_v1,rank_delta,tpi,v3_score,submodel,v3_rank
16,39.81638888719053,-118.15750000013064,0.79985476,False,29976,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7999,26,1691.91162109375,25.520675659179688,174.8668212890625,29.032501220703125,-117.78662109375,0.0,0.7999,29,26,-3,-6.3424072265625,0.41343166247643864,north,23
9,40.79527777801184,-117.45861111048995,0.8188923,False,13952,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8189,20,1690.1939697265625,32.75107955932617,181.4172821044922,42.641876220703125,152.431396484375,-0.05,0.7688999999999999,54,20,-34,2.3251953125,0.38820826984436374,north,24
7,40.795555555790166,-117.45944444382418,0.82949549,False,14000,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8295,18,1684.1517333984375,32.038692474365234,187.61233520507812,42.70741271972656,162.1624755859375,-0.05,0.7795,53,18,-35,-1.069580078125,0.3795856842068646,north,25
36,40.795555555790166,-117.4591666660461,0.79210216,False,13994,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7921,40,1684.1517333984375,32.038692474365234,187.61233520507812,42.70741271972656,164.1973876953125,-0.05,0.7421,58,40,-18,-1.069580078125,0.3795856842068646,north,26
19,40.79972222246506,-118.1402777778899,0.79732817,False,14464,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,1669.9371337890625,31.226097106933594,182.35899353027344,38.38780212402344,28.83837890625,-0.05,0.7473,55,28,-27,0.3829345703125,0.37123236150476385,north,27
45,38.25277777299269,-118.36638888924423,0.78978586,False,166378,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,1656.3126220703125,20.510066986083984,222.42062377929688,27.725006103515625,-38.1685791015625,0.0,0.7898,46,45,-1,-3.1632080078125,0.3426087488052826,south,28
43,40.822777778066126,-117.69694444407966,0.78989953,False,1309,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.1,0.8899,6,1718.3453369140625,31.649141311645508,175.10963439941406,40.47509765625,-27.21435546875,0.1,0.9899,1,6,5,-6.646240234375,0.342134069681411,north,29
31,40.3719444438428,-117.57694444395058,0.7937991,False,6488,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7938,37,1703.130126953125,30.157400131225586,244.51654052734375,34.82218933105469,-117.9000244140625,0.1,0.8937999999999999,11,37,26,-11.292236328125,0.3313157475010661,north,30
40,40.37166666606448,-117.57694444395058,0.79112983,False,6462,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7911,42,1703.130126953125,30.157400131225586,244.51654052734375,34.82218933105469,-125.5848388671875,0.1,0.8911,13,42,29,-11.292236328125,0.3313157475010661,north,31
42,40.724722222317,-117.5219444438914,0.7904619,False,10438,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7905,44,1680.4892578125,24.228416442871094,342.6078186035156,27.323959350585938,61.0301513671875,-0.05,0.7404999999999999,59,44,-15,-10.3717041015625,0.30902594312642134,north,32
6,40.41888888837992,-117.70444444408771,0.83046496,False,3338,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8805,7,1566.2886962890625,6.728320598602295,160.69345092773438,9.155517578125,-15.5771484375,0.1,0.9805,2,7,5,7.281982421875,0.24331080825065562,north,33
12,38.70111110721108,-118.78805555636453,0.80561513,False,149610,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8056,23,1647.1856689453125,33.811973571777344,188.263427734375,48.591278076171875,83.6199951171875,0.0,0.8056,26,23,-3,-1.728271484375,0.20213511959332522,south,34
