oid,cid,idn,tna,rnk,tid,oei,eag,lag,rid,lng,lat,phl,phn,cll,cln,odl,odn,fml,fmn,gnl,gnn,idg,rsg,ids,rss,env,sfm,cxi,ref,query_taxon,tec,gcm,smb,oli,sgr,tdf,iid,idr
occ:467069,col:34267,Cymbospondylus sp.,Cymbospondylus,5,txn:36550,Middle Triassic,246.7,237.0,ref:9007,-118.300003,40.133331,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,sp.,,marine indet.,Prida,45,J. C. Merriam. 1906. Preliminary note on a new marine reptile from the Middle Triassic of Nevada. University of California Publications in Geological Sciences 5(5):71-79,Cymbospondylus,,,,,,,,
occ:467070,col:34267,,Cymbospondylus petrinus,3,txn:170850,Middle Triassic,246.7,237.0,ref:9007,-118.300003,40.133331,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,marine indet.,Prida,45,J. C. Merriam. 1906. Preliminary note on a new marine reptile from the Middle Triassic of Nevada. University of California Publications in Geological Sciences 5(5):71-79,Cymbospondylus,,,,,,,,
occ:467071,col:34267,,Cymbospondylus natans,3,txn:285199,Middle Triassic,246.7,237.0,ref:9007,-118.300003,40.133331,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,natans,,marine indet.,Prida,45,J. C. Merriam. 1906. Preliminary note on a new marine reptile from the Middle Triassic of Nevada. University of California Publications in Geological Sciences 5(5):71-79,Cymbospondylus,,,,,,,,
occ:906287,col:101858,,Cymbospondylus piscosus,3,txn:172947,Illyrian,243.33,241.464,ref:34630,-116.716667,40.000000,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,piscosus,,marine indet.,,139,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Cymbospondylus,,,,,,,,
occ:906313,col:101860,,Cymbospondylus petrinus,3,txn:170850,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Cymbospondylus,,,,,,,,
occ:906314,col:101860,,Chonespondylus grandis,3,txn:174450,Triassic,251.902,201.4,ref:34630,-118.099998,40.548058,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Chonespondylus,,grandis,,marine indet.,,16,J. Leidy. 1868. Notice of some reptilian remains from Nevada. Proceedings of the Academy of Natural Sciences of Philadelphia 109:177-178,Cymbospondylus,,,,,,,,
occ:934002,col:107398,,Cymbospondylus petrinus,3,txn:170850,Middle Triassic,246.7,237.0,ref:35747,-118.136673,40.405666,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,petrinus,,carbonate indet.,,45,"J. C. Merriam. 1905. A primitive ichthyosaurian limb from the Middle Triassic of Nevada. University of California Publications, Bulletin of the Department of Geological Sciences 4(2):33-38",Cymbospondylus,,,,,,,,
occ:1186493,col:75086,Cymbospondylus nevadanus n. sp.,Cymbospondylus nevadanus,3,txn:285192,Illyrian,243.33,241.464,ref:49358,-117.532784,39.578609,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nevadanus,n. sp.,carbonate indet.,,139,J. C. Merriam. 1908. Triassic Ichthyosauria. Memoirs of the University of California 1(1):1-155,Cymbospondylus,,,,,,,,
occ:1417529,col:196200,Cymbospondylus nichollsi n. sp.,Cymbospondylus nichollsi,3,txn:263055,Anisian,246.7,241.464,ref:66739,-117.539444,40.001389,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nichollsi,n. sp.,marine indet.,Favret,139,"N. B. Fröbisch, P. M. Sander, and O. Rieppel. 2006. A new species of Cymbospondylus (Diapsida, Ichthyosauria) from the Middle Triassic of Nevada and a re-evaluation of the skull osteology of the genus. Zoological Journal of the Linnean Society 147(4):515-538",Cymbospondylus,,,Fossil Hill,,,,,
occ:1504406,col:209724,Cymbospondylus duelferi n. sp.,Cymbospondylus duelferi,3,txn:418928,Illyrian,243.33,241.464,ref:72341,-117.558891,40.059166,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,duelferi,n. sp.,marine indet.,Favret,139,"N. Klein, L. Schmitz, and T. Wintrich, P. M. Sander. 2020. A new cymbospondylid ichthyosaur (Ichthyosauria) from the Middle Triassic (Anisian) of the Augusta Mountains, Nevada, USA. Journal of Systematic Palaeontology",Cymbospondylus,,,Fossil Hill,,Star Peak,,,
